,0
序号,int64
标题 (中文),object
标题 (英文),object
摘要 (中文),object
摘要 (英文),object
申请人,object
公开（公告）号,object
公开（公告）日,datetime64[ns]
申请号,object
申请日,datetime64[ns]
公开类型,object
专利类型,object
公开国别,object
链接到incoPat,object
标题（小语种原文）,object
摘要（小语种原文）,object
首项权利要求,object
首权翻译,object
独立权利要求,object
权利要求数量,float64
独立权利要求数量,float64
从属权利要求数量,float64
文献页数,float64
首权字数,float64
技术功效句,object
技术功效短语,object
技术功效1级,object
技术功效2级,object
技术功效3级,object
技术功效TRIZ参数,object
用途,object
IPC主分类,object
IPC,object
洛迦诺分类号,object
EC,object
CPC,object
UC,object
FI,object
F-term,object
国民经济分类,object
国民经济行业(主),object
新兴产业分类,object
新兴产业(主),object
知识密集型分类,object
学科分类,object
清洁能源产业,object
清洁生产产业,object
数字经济核心产业,object
申请人(翻译),object
申请人(其他),object
标准化申请人,object
标准化当前权利人,object
当前权利人,object
第一申请人,object
申请人数量,float64
申请人类型,object
申请人国家/地区,object
申请人地址,object
申请人地址(其他),object
申请人省市代码,object
中国申请人地市,object
中国申请人区县,object
当前专利权人地址,object
工商别名,object
工商英文名,object
工商注册地址,object
工商公司类型,object
工商成立日期,object
工商统一社会信用代码,object
工商注册号,object
工商上市代码,object
工商企业状态,object
发明人,object
发明(设计)人(其他),object
第一发明人,object
当前发明人名称,object
发明人数量,float64
发明人国家/地区,object
发明人地址（原始）,object
发明(设计)人地址（其他）,object
代理机构,object
代理人,object
审查员,object
受让人地址,object
引证专利,object
被引证专利,object
自引信息,object
他引信息,object
被自引信息,object
被他引信息,object
家族引证,object
家族被引证,object
引证申请人,object
被引证申请人,object
家族引证申请人,object
家族被引证申请人,object
引证次数,float64
被引证次数,float64
自引次数,float64
他引次数,float64
被自引次数,float64
被他引次数,float64
家族引证次数,float64
家族被引证次数,float64
引证科技文献,object
引证类别,object
被引证类别,object
引证来源,object
被引证来源,object
被引证国别(forward),object
简单同族,object
扩展同族,object
DocDB同族,object
简单同族ID,object
扩展同族ID,object
DocDB同族ID,object
简单同族个数,int64
扩展同族个数,int64
DocDB同族个数,int64
同族国家/地区,object
优先权信息,object
优先权号,object
优先权日,datetime64[ns]
最早优先权日,datetime64[ns]
优先权国别,object
PCT国际申请号,object
PCT国际公布号,object
PCT进入国家阶段日,object
母案,object
分案,object
一案双申,object
专利有效性,object
当前法律状态,object
法律状态,object
法律文书日期,object
法律文书编号,object
复审请求人,object
无效请求人,object
复审决定,object
复审无效决定日,object
复审无效法律依据,object
转让次数,float64
转让执行日,object
转让人,object
转让人类型,object
受让人,object
受让人类型,object
标准受让人,object
许可次数,float64
许可合同备案日期,object
许可人,object
许可人类型,object
被许可人,object
被许可人类型,object
当前被许可人,object
许可类型,object
质押次数,float64
出质人,object
质权人,object
当前质权人,object
诉讼次数,float64
原告,object
被告,object
诉讼类型,object
法庭,object
海关备案,float64
复审决定日,object
无效决定日,object
口审日期,object
法律事件,object
复审请求日,object
许可合同备案号,object
质押号,object
转让登记号,object
转让登记日,object
首次公开号,object
首次公开日,datetime64[ns]
授权公告号,object
授权公告日,datetime64[ns]
实质审查生效日,datetime64[ns]
进入实质审查时长,float64
审查时长,float64
失效日,datetime64[ns]
专利寿命（月）,float64
标准类型,object
标准项目,object
标准号,object
合享价值度,int64
技术稳定性,int64
技术先进性,int64
保护范围,int64
文献种类代码,object
预估到期日,datetime64[ns]
DWPI用途,object
DWPI优势,object
DWPI新颖性,object
DWPI详细描述,object
DWPI生物活性,object
DWPI生物学机制,object
DWPI技术要点,object
DWPI分类号,object
DWPI手工代码,object
DWPI同族专利,object
DWPI同族国家/地区,object
DWPI同族ID,object
DWPI专利权人/申请人,object
DWPI发明人,object
DWPI优先权国别-最早,object
DWPI优先权号,object
DWPI优先权国别,object
